Pathway,Subject,Skills_Required,Competency_Type,Career,Industry_Sector
TVET,Electrical Installation,"Maintenance, Manual dexterity, Customer service",Learning to Learn,Electrician,Hospitality
Social Sciences,Sociology,"Writing, Critical thinking, Research",Communication & Collaboration,Urban Planner,Education
STEM,Mathematics,"Problem solving, Programming, Experimentation",Learning to Learn,Software Engineer,Healthcare
Arts & Sports,Dance,"Teamwork, Public speaking, Creativity",Creativity & Imagination,Sports Coach,Creative Arts
STEM,Statistics,"Analytical reasoning, Critical thinking, Data analysis",Digital Literacy,Environmental Analyst,Healthcare
Social Sciences,Economics,"Data interpretation, Policy analysis, Research",Citizenship,Historian,Government
Social Sciences,Political Science,"Communication, Policy analysis, Research",Citizenship,Historian,Government
Social Sciences,Religious Studies,"Critical thinking, Writing, Research",Citizenship,Economist,Education
TVET,Plumbing,"Entrepreneurship, Safety compliance, Technical skills",Self-Efficacy,Auto Mechanic,Hospitality
Business,Entrepreneurship,"Risk management, Decision making, Strategic planning",Communication & Collaboration,Operations Manager,Entrepreneurship
STEM,Physics,"Data analysis, Analytical reasoning, Problem solving",Critical Thinking & Problem Solving,Civil Engineer,Environmental Services
TVET,Fashion Design,"Customer service, Safety compliance, Entrepreneurship",Self-Efficacy,Electrician,Hospitality
Business,Commerce,"Decision making, Risk management, Strategic planning",Communication & Collaboration,Accountant,Corporate Sector
Business,Supply Chain Management,"Marketing analysis, Leadership, Financial literacy",Communication & Collaboration,Operations Manager,Corporate Sector
Social Sciences,Political Science,"Writing, Critical thinking, Data interpretation",Communication & Collaboration,Social Worker,Public Policy
STEM,Biology,"Programming, Experimentation, Problem solving",Digital Literacy,Civil Engineer,Engineering
Social Sciences,Economics,"Critical thinking, Ethical reasoning, Research",Communication & Collaboration,Economist,Education
TVET,Welding,"Customer service, Troubleshooting, Safety compliance",Critical Thinking & Problem Solving,Auto Mechanic,Skilled Trades
Arts & Sports,Dance,"Discipline, Public speaking, Creativity",Communication & Collaboration,Actor,Entertainment
Arts & Sports,Drama,"Coordination, Public speaking, Design thinking",Creativity & Imagination,Actor,Media
TVET,Welding,"Customer service, Entrepreneurship, Maintenance",Self-Efficacy,Construction Technician,Construction
Arts & Sports,Music,"Design thinking, Teamwork, Coordination",Self-Efficacy,Sports Coach,Creative Arts
Business,Marketing,"Decision making, Strategic planning, Leadership",Communication & Collaboration,Investment Analyst,Corporate Sector
STEM,Mathematics,"Data analysis, Analytical reasoning, Critical thinking",Critical Thinking & Problem Solving,Software Engineer,Technology
Arts & Sports,Dance,"Design thinking, Public speaking, Coordination",Creativity & Imagination,Film Producer,Media
Arts & Sports,Film Studies,"Teamwork, Design thinking, Public speaking",Self-Efficacy,Film Producer,Sports Industry
STEM,Mathematics,"Research, Analytical reasoning, Experimentation",Learning to Learn,Data Scientist,Healthcare
Arts & Sports,Drama,"Creativity, Discipline, Public speaking",Creativity & Imagination,Choreographer,Entertainment
TVET,Automotive Technology,"Safety compliance, Maintenance, Troubleshooting",Self-Efficacy,Hotel Manager,Manufacturing
Arts & Sports,Drama,"Performance, Coordination, Discipline",Self-Efficacy,Actor,Entertainment
STEM,Chemistry,"Analytical reasoning, Research, Critical thinking",Critical Thinking & Problem Solving,Environmental Analyst,Technology
Social Sciences,Political Science,"Data interpretation, Writing, Critical thinking",Critical Thinking & Problem Solving,Diplomat,Government
TVET,Welding,"Entrepreneurship, Maintenance, Safety compliance",Critical Thinking & Problem Solving,Plumber,Manufacturing
STEM,Mathematics,"Analytical reasoning, Data analysis, Experimentation",Digital Literacy,Laboratory Technologist,Technology
Arts & Sports,Music,"Teamwork, Coordination, Creativity",Communication & Collaboration,Choreographer,Sports Industry
Social Sciences,Geography,"Communication, Data interpretation, Research",Citizenship,Social Worker,NGO Sector
Arts & Sports,Graphic Design,"Coordination, Design thinking, Teamwork",Communication & Collaboration,Musician,Creative Arts
Business,Commerce,"Leadership, Decision making, Negotiation",Communication & Collaboration,Business Manager,Corporate Sector
Social Sciences,Economics,"Critical thinking, Research, Data interpretation",Critical Thinking & Problem Solving,Counselor,Education
Social Sciences,History,"Ethical reasoning, Research, Critical thinking",Critical Thinking & Problem Solving,Social Worker,Public Policy
TVET,Electrical Installation,"Technical skills, Maintenance, Customer service",Learning to Learn,Hotel Manager,Skilled Trades
TVET,Fashion Design,"Maintenance, Customer service, Safety compliance",Self-Efficacy,Plumber,Hospitality
Social Sciences,Geography,"Communication, Ethical reasoning, Policy analysis",Citizenship,Urban Planner,Government
STEM,Environmental Science,"Experimentation, Programming, Data analysis",Digital Literacy,Data Scientist,Engineering
TVET,Fashion Design,"Manual dexterity, Entrepreneurship, Safety compliance",Critical Thinking & Problem Solving,Welder,Skilled Trades
TVET,Plumbing,"Manual dexterity, Troubleshooting, Maintenance",Self-Efficacy,Welder,Construction
TVET,Hospitality,"Manual dexterity, Technical skills, Maintenance",Self-Efficacy,Plumber,Construction
Arts & Sports,Film Studies,"Performance, Public speaking, Teamwork",Communication & Collaboration,Art Director,Sports Industry
Business,Finance,"Decision making, Negotiation, Strategic planning",Learning to Learn,Investment Analyst,Corporate Sector
Arts & Sports,Film Studies,"Discipline, Design thinking, Coordination",Communication & Collaboration,Film Producer,Sports Industry
Business,Entrepreneurship,"Marketing analysis, Strategic planning, Negotiation",Self-Efficacy,Sales Director,Retail
Social Sciences,Economics,"Data interpretation, Communication, Research",Communication & Collaboration,Diplomat,Government
Business,Business Studies,"Risk management, Negotiation, Marketing analysis",Communication & Collaboration,Business Manager,Finance
Social Sciences,Religious Studies,"Policy analysis, Data interpretation, Writing",Critical Thinking & Problem Solving,Diplomat,Education
Social Sciences,Sociology,"Ethical reasoning, Critical thinking, Policy analysis",Critical Thinking & Problem Solving,Diplomat,Education
Social Sciences,Geography,"Research, Data interpretation, Policy analysis",Critical Thinking & Problem Solving,Policy Analyst,Public Policy
Arts & Sports,Graphic Design,"Coordination, Discipline, Public speaking",Self-Efficacy,Film Producer,Media
Arts & Sports,Film Studies,"Discipline, Design thinking, Performance",Self-Efficacy,Graphic Designer,Entertainment
Arts & Sports,Graphic Design,"Public speaking, Teamwork, Coordination",Communication & Collaboration,Graphic Designer,Entertainment
STEM,Biology,"Experimentation, Critical thinking, Problem solving",Digital Literacy,Civil Engineer,Engineering
Arts & Sports,Drama,"Public speaking, Design thinking, Creativity",Communication & Collaboration,Actor,Creative Arts
Social Sciences,Religious Studies,"Policy analysis, Research, Critical thinking",Communication & Collaboration,Policy Analyst,Public Policy
Business,Accounting,"Negotiation, Risk management, Strategic planning",Self-Efficacy,Marketing Manager,Retail
Business,Marketing,"Risk management, Strategic planning, Financial literacy",Learning to Learn,Operations Manager,Corporate Sector
STEM,Biology,"Programming, Analytical reasoning, Experimentation",Learning to Learn,Software Engineer,Technology
Arts & Sports,Film Studies,"Public speaking, Coordination, Performance",Communication & Collaboration,Musician,Sports Industry
Arts & Sports,Music,"Public speaking, Coordination, Performance",Creativity & Imagination,Actor,Entertainment
Business,Commerce,"Decision making, Risk management, Negotiation",Learning to Learn,Operations Manager,Finance
TVET,Welding,"Troubleshooting, Entrepreneurship, Customer service",Learning to Learn,Electrician,Manufacturing
Business,Supply Chain Management,"Negotiation, Financial literacy, Risk management",Self-Efficacy,Accountant,Entrepreneurship
Arts & Sports,Fine Art,"Coordination, Performance, Public speaking",Self-Efficacy,Choreographer,Media
Business,Finance,"Negotiation, Decision making, Marketing analysis",Learning to Learn,Investment Analyst,Finance
Arts & Sports,Physical Education,"Creativity, Public speaking, Performance",Creativity & Imagination,Choreographer,Creative Arts
STEM,Computer Science,"Research, Experimentation, Problem solving",Digital Literacy,Civil Engineer,Technology
Business,Supply Chain Management,"Strategic planning, Marketing analysis, Negotiation",Communication & Collaboration,Business Manager,Finance
Social Sciences,Geography,"Ethical reasoning, Communication, Critical thinking",Communication & Collaboration,Diplomat,Education
STEM,Biology,"Experimentation, Research, Critical thinking",Critical Thinking & Problem Solving,Actuary,Environmental Services
Business,Entrepreneurship,"Financial literacy, Leadership, Negotiation",Communication & Collaboration,Entrepreneur,Retail
Arts & Sports,Film Studies,"Design thinking, Creativity, Teamwork",Creativity & Imagination,Actor,Sports Industry
Social Sciences,History,"Writing, Critical thinking, Research",Critical Thinking & Problem Solving,Counselor,Government
Arts & Sports,Drama,"Discipline, Design thinking, Teamwork",Communication & Collaboration,Art Director,Sports Industry
Arts & Sports,Fine Art,"Design thinking, Discipline, Creativity",Communication & Collaboration,Sports Coach,Creative Arts
STEM,Statistics,"Data analysis, Research, Experimentation",Digital Literacy,Software Engineer,Technology
STEM,Physics,"Analytical reasoning, Critical thinking, Programming",Critical Thinking & Problem Solving,Civil Engineer,Environmental Services
Arts & Sports,Physical Education,"Public speaking, Creativity, Teamwork",Self-Efficacy,Choreographer,Sports Industry
Business,Entrepreneurship,"Marketing analysis, Decision making, Financial literacy",Self-Efficacy,Entrepreneur,Finance
Business,Commerce,"Decision making, Leadership, Marketing analysis",Self-Efficacy,Entrepreneur,Retail
Social Sciences,Religious Studies,"Writing, Data interpretation, Policy analysis",Communication & Collaboration,Diplomat,Public Policy
STEM,Statistics,"Experimentation, Analytical reasoning, Research",Digital Literacy,Doctor,Environmental Services
Arts & Sports,Drama,"Public speaking, Teamwork, Creativity",Communication & Collaboration,Art Director,Sports Industry
Business,Accounting,"Marketing analysis, Leadership, Negotiation",Learning to Learn,Business Manager,Retail
STEM,Chemistry,"Research, Analytical reasoning, Experimentation",Learning to Learn,Laboratory Technologist,Environmental Services
Business,Finance,"Negotiation, Financial literacy, Risk management",Learning to Learn,Business Manager,Retail
Social Sciences,Geography,"Research, Policy analysis, Communication",Citizenship,Historian,Education
STEM,Chemistry,"Problem solving, Research, Analytical reasoning",Learning to Learn,Laboratory Technologist,Healthcare
Business,Commerce,"Marketing analysis, Financial literacy, Strategic planning",Self-Efficacy,Sales Director,Corporate Sector
Social Sciences,Psychology,"Data interpretation, Critical thinking, Ethical reasoning",Critical Thinking & Problem Solving,Social Worker,NGO Sector
Social Sciences,Religious Studies,"Writing, Research, Ethical reasoning",Communication & Collaboration,Diplomat,Education
TVET,Hospitality,"Customer service, Manual dexterity, Technical skills",Self-Efficacy,Welder,Hospitality
STEM,Biology,"Data analysis, Analytical reasoning, Programming",Learning to Learn,Data Scientist,Engineering
Social Sciences,Political Science,"Ethical reasoning, Data interpretation, Writing",Critical Thinking & Problem Solving,Historian,Education
STEM,Environmental Science,"Research, Data analysis, Problem solving",Learning to Learn,Data Scientist,Environmental Services
TVET,Plumbing,"Safety compliance, Technical skills, Manual dexterity",Self-Efficacy,Construction Technician,Hospitality
STEM,Environmental Science,"Data analysis, Experimentation, Problem solving",Critical Thinking & Problem Solving,Software Engineer,Environmental Services
Business,Commerce,"Leadership, Strategic planning, Decision making",Learning to Learn,Accountant,Corporate Sector
Arts & Sports,Fine Art,"Design thinking, Performance, Coordination",Creativity & Imagination,Choreographer,Creative Arts
STEM,Computer Science,"Programming, Problem solving, Critical thinking",Digital Literacy,Laboratory Technologist,Technology
Social Sciences,Political Science,"Research, Ethical reasoning, Communication",Critical Thinking & Problem Solving,Historian,Education
Social Sciences,Political Science,"Communication, Research, Data interpretation",Critical Thinking & Problem Solving,Social Worker,NGO Sector
Business,Commerce,"Marketing analysis, Strategic planning, Risk management",Learning to Learn,Sales Director,Corporate Sector
Social Sciences,Economics,"Writing, Policy analysis, Research",Communication & Collaboration,Urban Planner,Education
STEM,Physics,"Research, Programming, Data analysis",Critical Thinking & Problem Solving,Software Engineer,Technology
Business,Finance,"Marketing analysis, Financial literacy, Leadership",Communication & Collaboration,Business Manager,Entrepreneurship
TVET,Automotive Technology,"Manual dexterity, Customer service, Technical skills",Critical Thinking & Problem Solving,Fashion Designer,Construction
Business,Accounting,"Risk management, Financial literacy, Leadership",Learning to Learn,Marketing Manager,Retail
STEM,Physics,"Problem solving, Research, Programming",Digital Literacy,Civil Engineer,Environmental Services
TVET,Carpentry,"Technical skills, Customer service, Manual dexterity",Critical Thinking & Problem Solving,Electrician,Hospitality
TVET,Carpentry,"Safety compliance, Manual dexterity, Customer service",Self-Efficacy,Electrician,Construction
STEM,Biology,"Experimentation, Programming, Analytical reasoning",Learning to Learn,Doctor,Engineering
STEM,Mathematics,"Experimentation, Research, Analytical reasoning",Digital Literacy,Environmental Analyst,Environmental Services
Arts & Sports,Dance,"Coordination, Discipline, Creativity",Creativity & Imagination,Actor,Entertainment
TVET,Plumbing,"Entrepreneurship, Manual dexterity, Troubleshooting",Self-Efficacy,Hotel Manager,Construction
Business,Finance,"Strategic planning, Marketing analysis, Leadership",Learning to Learn,Accountant,Retail
TVET,Hospitality,"Maintenance, Manual dexterity, Technical skills",Self-Efficacy,Hotel Manager,Skilled Trades
Business,Marketing,"Risk management, Marketing analysis, Negotiation",Self-Efficacy,Sales Director,Retail
TVET,Plumbing,"Manual dexterity, Troubleshooting, Customer service",Critical Thinking & Problem Solving,Plumber,Manufacturing
Business,Marketing,"Marketing analysis, Leadership, Financial literacy",Learning to Learn,Marketing Manager,Finance
Arts & Sports,Music,"Design thinking, Teamwork, Discipline",Communication & Collaboration,Choreographer,Sports Industry
Social Sciences,Geography,"Research, Critical thinking, Ethical reasoning",Communication & Collaboration,Diplomat,Public Policy
STEM,Statistics,"Analytical reasoning, Programming, Critical thinking",Digital Literacy,Civil Engineer,Environmental Services
Social Sciences,Geography,"Communication, Ethical reasoning, Research",Citizenship,Economist,NGO Sector
TVET,Electrical Installation,"Technical skills, Manual dexterity, Entrepreneurship",Critical Thinking & Problem Solving,Electrician,Hospitality
Arts & Sports,Drama,"Discipline, Performance, Public speaking",Self-Efficacy,Choreographer,Media
Business,Entrepreneurship,"Marketing analysis, Decision making, Leadership",Communication & Collaboration,Marketing Manager,Finance
Arts & Sports,Fine Art,"Creativity, Performance, Teamwork",Communication & Collaboration,Actor,Media
Arts & Sports,Physical Education,"Discipline, Performance, Design thinking",Communication & Collaboration,Graphic Designer,Entertainment
Social Sciences,Economics,"Writing, Communication, Ethical reasoning",Communication & Collaboration,Social Worker,Public Policy
Social Sciences,Sociology,"Writing, Research, Critical thinking",Critical Thinking & Problem Solving,Urban Planner,Education
STEM,Biology,"Research, Critical thinking, Experimentation",Learning to Learn,Laboratory Technologist,Technology
Social Sciences,Political Science,"Critical thinking, Policy analysis, Writing",Communication & Collaboration,Economist,Education
STEM,Environmental Science,"Programming, Data analysis, Critical thinking",Critical Thinking & Problem Solving,Data Scientist,Engineering
Social Sciences,Sociology,"Ethical reasoning, Research, Policy analysis",Communication & Collaboration,Social Worker,NGO Sector
STEM,Computer Science,"Programming, Data analysis, Problem solving",Critical Thinking & Problem Solving,Software Engineer,Environmental Services
Social Sciences,Religious Studies,"Data interpretation, Writing, Policy analysis",Critical Thinking & Problem Solving,Diplomat,NGO Sector
STEM,Biology,"Research, Critical thinking, Problem solving",Critical Thinking & Problem Solving,Software Engineer,Healthcare
Business,Commerce,"Financial literacy, Decision making, Risk management",Learning to Learn,Investment Analyst,Corporate Sector
STEM,Computer Science,"Critical thinking, Experimentation, Problem solving",Digital Literacy,Environmental Analyst,Technology
TVET,Hospitality,"Customer service, Technical skills, Maintenance",Self-Efficacy,Construction Technician,Skilled Trades
Social Sciences,History,"Critical thinking, Research, Communication",Critical Thinking & Problem Solving,Policy Analyst,Government
Arts & Sports,Physical Education,"Public speaking, Discipline, Design thinking",Communication & Collaboration,Film Producer,Entertainment
TVET,Welding,"Troubleshooting, Manual dexterity, Maintenance",Self-Efficacy,Welder,Skilled Trades
Arts & Sports,Fine Art,"Discipline, Public speaking, Design thinking",Communication & Collaboration,Actor,Media
STEM,Physics,"Experimentation, Analytical reasoning, Programming",Critical Thinking & Problem Solving,Civil Engineer,Engineering
Social Sciences,Psychology,"Research, Communication, Data interpretation",Communication & Collaboration,Economist,Public Policy
Business,Marketing,"Risk management, Leadership, Financial literacy",Learning to Learn,Entrepreneur,Finance
TVET,Welding,"Troubleshooting, Manual dexterity, Customer service",Learning to Learn,Hotel Manager,Construction
STEM,Environmental Science,"Data analysis, Research, Programming",Critical Thinking & Problem Solving,Environmental Analyst,Healthcare
Arts & Sports,Graphic Design,"Performance, Coordination, Public speaking",Communication & Collaboration,Art Director,Sports Industry
TVET,Carpentry,"Technical skills, Entrepreneurship, Safety compliance",Self-Efficacy,Plumber,Manufacturing
Arts & Sports,Dance,"Teamwork, Discipline, Coordination",Creativity & Imagination,Sports Coach,Media
Business,Supply Chain Management,"Financial literacy, Strategic planning, Decision making",Self-Efficacy,Sales Director,Finance
Arts & Sports,Music,"Design thinking, Discipline, Public speaking",Self-Efficacy,Choreographer,Media
Business,Commerce,"Financial literacy, Strategic planning, Risk management",Communication & Collaboration,Entrepreneur,Retail
Arts & Sports,Dance,"Creativity, Public speaking, Teamwork",Creativity & Imagination,Choreographer,Entertainment
STEM,Mathematics,"Programming, Problem solving, Data analysis",Critical Thinking & Problem Solving,Software Engineer,Environmental Services
STEM,Environmental Science,"Research, Problem solving, Experimentation",Learning to Learn,Software Engineer,Engineering
Business,Marketing,"Leadership, Financial literacy, Decision making",Communication & Collaboration,Sales Director,Entrepreneurship
TVET,Electrical Installation,"Entrepreneurship, Technical skills, Safety compliance",Learning to Learn,Plumber,Skilled Trades
Social Sciences,Sociology,"Policy analysis, Ethical reasoning, Critical thinking",Critical Thinking & Problem Solving,Counselor,Education
Arts & Sports,Film Studies,"Performance, Teamwork, Public speaking",Communication & Collaboration,Art Director,Sports Industry
Arts & Sports,Music,"Coordination, Discipline, Creativity",Communication & Collaboration,Film Producer,Creative Arts
Social Sciences,Psychology,"Policy analysis, Research, Ethical reasoning",Citizenship,Diplomat,NGO Sector
STEM,Biology,"Research, Problem solving, Critical thinking",Learning to Learn,Civil Engineer,Technology
STEM,Statistics,"Critical thinking, Problem solving, Research",Digital Literacy,Actuary,Technology
TVET,Welding,"Maintenance, Customer service, Technical skills",Critical Thinking & Problem Solving,Hotel Manager,Hospitality
Social Sciences,Religious Studies,"Research, Policy analysis, Writing",Citizenship,Economist,Public Policy
STEM,Computer Science,"Data analysis, Critical thinking, Experimentation",Digital Literacy,Environmental Analyst,Engineering
Arts & Sports,Fine Art,"Public speaking, Performance, Discipline",Self-Efficacy,Film Producer,Creative Arts
STEM,Environmental Science,"Analytical reasoning, Data analysis, Experimentation",Critical Thinking & Problem Solving,Doctor,Engineering
Arts & Sports,Film Studies,"Coordination, Discipline, Creativity",Self-Efficacy,Graphic Designer,Media
Business,Accounting,"Decision making, Negotiation, Marketing analysis",Learning to Learn,Investment Analyst,Finance
Business,Entrepreneurship,"Risk management, Decision making, Leadership",Learning to Learn,Sales Director,Corporate Sector
Business,Commerce,"Risk management, Marketing analysis, Leadership",Communication & Collaboration,Marketing Manager,Retail
Business,Supply Chain Management,"Leadership, Financial literacy, Strategic planning",Self-Efficacy,Sales Director,Retail
STEM,Mathematics,"Analytical reasoning, Critical thinking, Programming",Learning to Learn,Software Engineer,Engineering
TVET,Electrical Installation,"Entrepreneurship, Manual dexterity, Maintenance",Critical Thinking & Problem Solving,Auto Mechanic,Hospitality
Arts & Sports,Dance,"Public speaking, Discipline, Creativity",Creativity & Imagination,Choreographer,Entertainment
TVET,Plumbing,"Troubleshooting, Maintenance, Entrepreneurship",Critical Thinking & Problem Solving,Electrician,Construction
Business,Accounting,"Financial literacy, Negotiation, Marketing analysis",Learning to Learn,Business Manager,Entrepreneurship
Arts & Sports,Drama,"Discipline, Performance, Teamwork",Communication & Collaboration,Choreographer,Sports Industry
STEM,Mathematics,"Analytical reasoning, Research, Critical thinking",Critical Thinking & Problem Solving,Software Engineer,Engineering
STEM,Physics,"Data analysis, Research, Experimentation",Digital Literacy,Data Scientist,Environmental Services
STEM,Mathematics,"Analytical reasoning, Problem solving, Data analysis",Critical Thinking & Problem Solving,Software Engineer,Environmental Services
Arts & Sports,Graphic Design,"Teamwork, Creativity, Discipline",Self-Efficacy,Graphic Designer,Media
Social Sciences,Economics,"Ethical reasoning, Communication, Policy analysis",Critical Thinking & Problem Solving,Economist,NGO Sector
Social Sciences,Sociology,"Communication, Data interpretation, Ethical reasoning",Critical Thinking & Problem Solving,Economist,NGO Sector
TVET,Fashion Design,"Entrepreneurship, Technical skills, Maintenance",Learning to Learn,Auto Mechanic,Manufacturing
Arts & Sports,Dance,"Design thinking, Discipline, Performance",Communication & Collaboration,Film Producer,Creative Arts
Arts & Sports,Dance,"Design thinking, Coordination, Public speaking",Communication & Collaboration,Sports Coach,Entertainment
TVET,Carpentry,"Manual dexterity, Technical skills, Entrepreneurship",Self-Efficacy,Welder,Skilled Trades
Arts & Sports,Film Studies,"Performance, Creativity, Discipline",Creativity & Imagination,Musician,Creative Arts
Social Sciences,Sociology,"Writing, Ethical reasoning, Data interpretation",Communication & Collaboration,Economist,Public Policy
Social Sciences,Religious Studies,"Data interpretation, Writing, Policy analysis",Communication & Collaboration,Counselor,Education
STEM,Environmental Science,"Programming, Analytical reasoning, Research",Learning to Learn,Doctor,Technology
TVET,Hospitality,"Troubleshooting, Customer service, Entrepreneurship",Learning to Learn,Hotel Manager,Construction
Arts & Sports,Dance,"Design thinking, Discipline, Teamwork",Self-Efficacy,Choreographer,Creative Arts
Social Sciences,Psychology,"Policy analysis, Research, Communication",Communication & Collaboration,Policy Analyst,Government
STEM,Mathematics,"Critical thinking, Data analysis, Programming",Digital Literacy,Software Engineer,Engineering
Social Sciences,Religious Studies,"Critical thinking, Communication, Research",Citizenship,Urban Planner,Public Policy
Arts & Sports,Film Studies,"Public speaking, Discipline, Creativity",Communication & Collaboration,Choreographer,Media
Business,Business Studies,"Strategic planning, Financial literacy, Risk management",Learning to Learn,Accountant,Entrepreneurship
TVET,Automotive Technology,"Maintenance, Entrepreneurship, Safety compliance",Self-Efficacy,Auto Mechanic,Hospitality
TVET,Hospitality,"Maintenance, Technical skills, Manual dexterity",Self-Efficacy,Hotel Manager,Manufacturing
Social Sciences,Economics,"Research, Writing, Ethical reasoning",Communication & Collaboration,Historian,NGO Sector
Business,Accounting,"Strategic planning, Risk management, Decision making",Self-Efficacy,Entrepreneur,Finance
Arts & Sports,Dance,"Creativity, Discipline, Teamwork",Self-Efficacy,Art Director,Creative Arts
Business,Business Studies,"Strategic planning, Decision making, Marketing analysis",Learning to Learn,Business Manager,Retail
STEM,Biology,"Research, Problem solving, Analytical reasoning",Critical Thinking & Problem Solving,Laboratory Technologist,Healthcare
Social Sciences,History,"Communication, Ethical reasoning, Data interpretation",Communication & Collaboration,Urban Planner,Government
STEM,Chemistry,"Experimentation, Problem solving, Analytical reasoning",Learning to Learn,Doctor,Technology
Business,Marketing,"Negotiation, Leadership, Marketing analysis",Self-Efficacy,Investment Analyst,Entrepreneurship
Arts & Sports,Fine Art,"Design thinking, Creativity, Discipline",Creativity & Imagination,Musician,Entertainment
Business,Entrepreneurship,"Financial literacy, Strategic planning, Risk management",Learning to Learn,Operations Manager,Finance
STEM,Mathematics,"Experimentation, Programming, Research",Critical Thinking & Problem Solving,Environmental Analyst,Environmental Services
TVET,Plumbing,"Entrepreneurship, Safety compliance, Customer service",Critical Thinking & Problem Solving,Auto Mechanic,Hospitality
Business,Commerce,"Decision making, Strategic planning, Leadership",Self-Efficacy,Operations Manager,Finance
STEM,Chemistry,"Problem solving, Programming, Critical thinking",Learning to Learn,Actuary,Technology
STEM,Physics,"Problem solving, Experimentation, Programming",Learning to Learn,Actuary,Environmental Services
Business,Supply Chain Management,"Negotiation, Marketing analysis, Leadership",Self-Efficacy,Entrepreneur,Corporate Sector
Arts & Sports,Drama,"Performance, Teamwork, Public speaking",Communication & Collaboration,Choreographer,Media
Business,Commerce,"Strategic planning, Negotiation, Decision making",Communication & Collaboration,Business Manager,Retail
Social Sciences,Sociology,"Data interpretation, Writing, Research",Critical Thinking & Problem Solving,Policy Analyst,Government
TVET,Electrical Installation,"Customer service, Entrepreneurship, Safety compliance",Critical Thinking & Problem Solving,Construction Technician,Hospitality
STEM,Physics,"Experimentation, Critical thinking, Problem solving",Learning to Learn,Software Engineer,Environmental Services
Arts & Sports,Film Studies,"Public speaking, Teamwork, Coordination",Creativity & Imagination,Actor,Entertainment
Business,Entrepreneurship,"Decision making, Negotiation, Financial literacy",Communication & Collaboration,Investment Analyst,Corporate Sector
STEM,Biology,"Problem solving, Critical thinking, Research",Critical Thinking & Problem Solving,Data Scientist,Engineering
TVET,Hospitality,"Manual dexterity, Technical skills, Troubleshooting",Critical Thinking & Problem Solving,Hotel Manager,Skilled Trades
Business,Finance,"Negotiation, Strategic planning, Financial literacy",Learning to Learn,Marketing Manager,Finance
Business,Marketing,"Decision making, Leadership, Risk management",Self-Efficacy,Entrepreneur,Finance
STEM,Mathematics,"Research, Problem solving, Data analysis",Learning to Learn,Environmental Analyst,Environmental Services
TVET,Automotive Technology,"Customer service, Manual dexterity, Maintenance",Learning to Learn,Construction Technician,Hospitality
Arts & Sports,Dance,"Discipline, Teamwork, Design thinking",Self-Efficacy,Art Director,Sports Industry
TVET,Welding,"Entrepreneurship, Maintenance, Safety compliance",Critical Thinking & Problem Solving,Hotel Manager,Skilled Trades
TVET,Electrical Installation,"Safety compliance, Manual dexterity, Customer service",Learning to Learn,Construction Technician,Construction
Business,Finance,"Marketing analysis, Financial literacy, Leadership",Self-Efficacy,Business Manager,Entrepreneurship
Social Sciences,Psychology,"Communication, Critical thinking, Ethical reasoning",Citizenship,Diplomat,Public Policy
TVET,Carpentry,"Manual dexterity, Troubleshooting, Maintenance",Self-Efficacy,Fashion Designer,Hospitality
TVET,Hospitality,"Customer service, Troubleshooting, Maintenance",Learning to Learn,Plumber,Hospitality
STEM,Physics,"Data analysis, Problem solving, Experimentation",Digital Literacy,Environmental Analyst,Environmental Services
STEM,Environmental Science,"Critical thinking, Programming, Problem solving",Digital Literacy,Environmental Analyst,Environmental Services
TVET,Plumbing,"Manual dexterity, Safety compliance, Maintenance",Self-Efficacy,Electrician,Manufacturing
Business,Marketing,"Risk management, Negotiation, Decision making",Self-Efficacy,Sales Director,Retail
Arts & Sports,Music,"Discipline, Creativity, Teamwork",Communication & Collaboration,Art Director,Sports Industry
Social Sciences,Sociology,"Data interpretation, Ethical reasoning, Critical thinking",Critical Thinking & Problem Solving,Counselor,Government
STEM,Statistics,"Programming, Critical thinking, Analytical reasoning",Learning to Learn,Software Engineer,Engineering
Arts & Sports,Graphic Design,"Performance, Public speaking, Teamwork",Creativity & Imagination,Art Director,Creative Arts
TVET,Welding,"Technical skills, Safety compliance, Customer service",Critical Thinking & Problem Solving,Construction Technician,Hospitality
TVET,Fashion Design,"Troubleshooting, Entrepreneurship, Customer service",Learning to Learn,Welder,Skilled Trades
TVET,Fashion Design,"Entrepreneurship, Troubleshooting, Safety compliance",Self-Efficacy,Auto Mechanic,Skilled Trades
TVET,Automotive Technology,"Customer service, Entrepreneurship, Technical skills",Learning to Learn,Electrician,Manufacturing
Business,Marketing,"Financial literacy, Risk management, Strategic planning",Learning to Learn,Marketing Manager,Finance
Arts & Sports,Drama,"Teamwork, Design thinking, Coordination",Creativity & Imagination,Sports Coach,Media
Arts & Sports,Physical Education,"Creativity, Coordination, Performance",Creativity & Imagination,Musician,Sports Industry
Arts & Sports,Drama,"Public speaking, Creativity, Performance",Creativity & Imagination,Actor,Entertainment
Social Sciences,Geography,"Communication, Ethical reasoning, Policy analysis",Communication & Collaboration,Social Worker,NGO Sector
Arts & Sports,Film Studies,"Public speaking, Design thinking, Performance",Creativity & Imagination,Graphic Designer,Entertainment
Arts & Sports,Graphic Design,"Coordination, Creativity, Teamwork",Self-Efficacy,Graphic Designer,Creative Arts
TVET,Plumbing,"Technical skills, Manual dexterity, Entrepreneurship",Self-Efficacy,Electrician,Construction
